Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Dependents_0,Dependents_1,Dependents_2,Dependents_3+
1,0,0,0,0.07299082285068836,-0.3027591857961114,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.13441195378345122,-0.20764834410830768,0.2732312961117544,0,0,0.0,1.0,0.0,0.0
1,1,0,1,-0.3937473372051281,-0.9447573671887864,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,1,0,-0.4620624697931504,-0.3027591857961114,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,0,0,0,0.09772843680942066,-0.05309322636562664,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,1,0.0022183113925933404,1.4449025302172818,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,1,1,0,-0.5030187842943628,-0.599980566070498,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.38784962791695354,0.14901731222095624,0.2732312961117544,1,0,0.0,0.0,0.0,1.0
1,1,0,0,-0.22893912765224944,0.2679058643307109,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,1,0,0,1.2184570268205968,2.4197886575172696,0.2732312961117544,1,0,0.0,1.0,0.0,0.0
1,1,0,0,-0.3609822856041582,-0.8972019463448846,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,1,0,0,-0.4756599662075529,-0.43353659311684145,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,1,0,0,-0.38178809337077413,0.6483492310819257,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,0,0,0,-0.5816549081366906,-0.37409231706196416,0.2732312961117544,0,0,1.0,0.0,0.0,0.0
1,1,0,0,-0.6724141010713773,-1.527311272526584,-3.4548579441686273,2,1,0.0,0.0,1.0,0.0
1,0,0,0,-0.07428808409567142,-0.24331490974123407,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,0,1,0,-0.29610748343423776,-0.5405362900156206,-1.5908133240284363,2,1,0.0,1.0,0.0,0.0
0,0,0,0,-0.31019645562265485,-0.8258688150790318,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
1,1,1,0,-0.08460907534997694,-0.14820406805343034,0.2732312961117544,0,0,1.0,0.0,0.0,0.0
1,1,0,0,-0.45927744040706797,-0.3622034618509887,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,1,0,0.369678365097471,-0.4929808691717188,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
1,1,0,0,0.09035630019920242,2.015567580344104,0.2732312961117544,2,1,0.0,1.0,0.0,0.0
1,1,1,0,-0.45927744040706797,-0.35031460664001324,0.2732312961117544,1,0,1.0,0.0,0.0,0.0
1,1,1,0,-0.33395111803335803,-0.3978700274839151,0.2732312961117544,0,0,0.0,0.0,1.0,0.0
1,1,0,0,-0.27628462721565095,0.065795325744128,0.2732312961117544,1,0,0.0,1.0,0.0,0.0
1,1,0,1,0.6809463553066852,0.5413495341831466,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.4266762140641029,-0.27898147537416046,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,1,1,0,-0.19289757089118253,-0.421647737905866,0.2732312961117544,2,1,0.0,0.0,1.0,0.0
1,0,1,0,-0.6489870891766838,-1.3133118787290259,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
0,0,0,0,-0.2708783937014909,-0.3027591857961114,0.2732312961117544,1,1,0.0,0.0,1.0,0.0
1,1,0,0,-0.2027270863714735,0.6602380862929011,0.2732312961117544,2,0,0.0,1.0,0.0,0.0
1,0,0,0,-0.36638851911831827,-0.8496465255009827,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
1,0,0,1,-0.11655500066092261,-0.46920315874976787,0.2732312961117544,0,0,0.0,1.0,0.0,0.0
1,1,0,0,-0.3118347082027033,-0.37409231706196416,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,0,0,0,1.162592613840943,2.0750118563989814,0.2732312961117544,0,0,0.0,0.0,0.0,1.0
1,1,0,0,-0.512520649258644,-0.3027591857961114,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.5857505395868119,-0.5405362900156206,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
0,1,0,0,-0.28447589011589347,-0.01742666073270025,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,0,0,0,-0.2027270863714735,0.4581275477063183,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,0,1,0,-0.2712060442175006,-0.421647737905866,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,0,0,0,-0.2954521824022184,-0.7783133942351299,0.2732312961117544,2,0,1.0,0.0,0.0,0.0
1,0,0,0,-0.5903376468109477,-1.1706456161973202,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.4920424920080379,-0.8377576702900073,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,-0.23958776942256466,-0.13631521284245487,0.2732312961117544,1,1,1.0,0.0,0.0,0.0
1,1,1,1,-0.11606352488690806,-0.5880917108595225,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
0,0,0,0,-0.3265789814231398,-0.6832025525473262,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
1,1,0,0,0.04022577124971845,-1.2063121818302467,0.2732312961117544,2,1,0.0,1.0,0.0,0.0
1,1,0,0,0.06840371562655258,-0.01742666073270025,0.2732312961117544,2,1,1.0,0.0,0.0,0.0
